,ID,File_name,Initial Pond EC,Initial Test Well EC,Lat,Long,RE_all
0,AEO-05,Weekly Monitoring Data_AOSED,4.4,13.6,22.51669,89.72033,0
1,AEO-10,Weekly Monitoring Data_AOSED,2.9,6.85,22.54123,89.63853,0
2,AEO-14,Weekly Monitoring Data_AOSED,2.4,13.92,22.48711,89.64051,0
3,AEO-22,Weekly Monitoring Data_AOSED,0.37,21,22.447,89.708,0
4,AEO-26,Weekly Monitoring Data_AOSED,2.2,9.34,22.55606,89.65313,0
5,AEO-27,Weekly Monitoring Data_AOSED,0.42,9.4,22.54964,89.58803,8.77799837
6,AEO-31,Weekly Monitoring Data_AOSED,2.05,13.85,22.47287,89.69396,2.756858283
7,AEO-32,Weekly Monitoring Data_AOSED,1.67,7.82,22.46502,89.68173,0
8,AEO-33,Weekly Monitoring Data_AOSED,0.43,16.86,22.40724,89.68082,4.655257873
9,GMF-08,Weekly Monitoring Data_GMF,0.85,3.72,22.70015,89.86078,8.945895847
10,GMF-10,Weekly Monitoring Data_GMF,0.58,0.9,22.72432,89.89086,45.25246666
11,GMF-11,Weekly Monitoring Data_GMF,0.46,2.91,22.62168,89.83602,0
12,GMF-13,Weekly Monitoring Data_GMF,0.27,3.52,22.57573,89.87375,0.632345092
13,GMF-62,Weekly Monitoring Data_GMF,0.47,3.71,22.48692,89.86239,32.93936051
14,GMF-89,Weekly Monitoring Data_GMF,0.14,5.53,22.50271,89.86145,36.69310802
15,GMF-90,Weekly Monitoring Data_GMF,0.22,3.82,22.50326,89.88493,9.063573687
16,JJS-04,Weekly Monitoring Data_JJS,0.48,15.03,22.29895,89.78232,2.122844745
17,JJS-32,Weekly Monitoring Data_JJS,0.34,8.58,22.25596,89.83038,10.96937579
18,JJS-43,Weekly Monitoring Data_JJS,0.43,9.46,22.21517,89.82979,0.367124024
19,JJS-53,Weekly Monitoring Data_JJS,0.71,4.19,22.45786,89.83478,10.72206366
20,JJS-80,Weekly Monitoring Data_JJS,0.32,21.5,22.2928,89.78298,3.833479538
21,JJS-82,Weekly Monitoring Data_JJS,0.7,6.72,22.33789,89.82123,11.58005591
22,JJS-91,Weekly Monitoring Data_JJS,0.52,9.29,22.44167,89.80404,4.044656336
23,LoCOS-01,Weekly Monitoring Data_LoCOS,2.67,7.88,22.64247,89.50693,0.964758572
24,LoCOS-05,Weekly Monitoring Data_LoCOS,1.55,6.48,22.64622,89.44556,0
25,LoCOS-07,Weekly Monitoring Data_LoCOS,1.73,8.55,22.59908,89.5175,4.443726559
26,LoCOS-09,Weekly Monitoring Data_LoCOS,1.54,9.02,22.60174,89.5227,4.592262231
27,LoCOS-11,Weekly Monitoring Data_LoCOS,2.28,4.1,22.60802,89.50882,10.26911918
28,LoCOS-16,Weekly Monitoring Data_LoCOS,2.59,6.81,22.59776,89.4668,0.1512026
29,LoCOS-26,Weekly Monitoring Data_LoCOS,2.33,13.2,22.52753,89.44522,0.224825337
30,LoCOS-27,Weekly Monitoring Data_LoCOS,1.03,11.43,22.53388,89.49137,0.070801622
31,LoCOS-31,Weekly Monitoring Data_LoCOS,1.89,9.23,22.50143,89.51763,11.34708522
32,LoCOS-44,Weekly Monitoring Data_LoCOS,1.77,14.32,22.6476,89.42403,0
33,LoCOS-45,Weekly Monitoring Data_LoCOS,0.81,5.27,22.66754,89.41473,1.272610352
34,LoCOS-46,Weekly Monitoring Data_LoCOS,2.74,11.49,22.62899,89.52837,0
35,LoCOS-48,Weekly Monitoring Data_LoCOS,3.41,5.59,22.6551,89.49141,0
36,LoCOS-49,Weekly Monitoring Data_LoCOS,3.12,5.35,22.64109,89.47532,2.879971903
37,LoCOS-52,Weekly Monitoring Data_LoCOS,0.85,9.94,22.60207,89.44875,0.000171261
38,LoCOS-53,Weekly Monitoring Data_LoCOS,1.14,3.92,22.57838,89.47195,0.313214374
39,LoCOS-57,Weekly Monitoring Data_LoCOS,2.85,6.93,22.66055,89.49564,0
40,MF-05,Weekly Monitoring Data_MF,1.4,0.91,22.61697,89.27823,45.68242742
41,MF-10,Weekly Monitoring Data_MF,1.2,5.8,22.64139,89.42094,7.718990745
42,MF-13,Weekly Monitoring Data_MF,3.16,6.93,22.55174,89.30055,1.639193788
43,MF-16,Weekly Monitoring Data_MF,0.7,3.48,22.5,89.25729,34.22057376
44,MF-18,Weekly Monitoring Data_MF,1.74,6.65,22.49693,89.30923,7.411337272
45,MF-20,Weekly Monitoring Data_MF,2.6,11.01,22.48683,89.3501,0
46,MF-21,Weekly Monitoring Data_MF,2.16,5.76,22.49615,89.31657,3.760682042
47,MF-30,Weekly Monitoring Data_MF,0.53,6.94,22.45661,89.29697,1.968538409
48,MF-33,Weekly Monitoring Data_MF,1.73,5.2,22.63334,89.44046,0
49,LED-16,Weekly Monitoring Data_LEDARS,0.4,5.7,22.31387,89.05113,22.29159876
50,LED-33,Weekly Monitoring Data_LEDARS,1.33,9.49,22.37567,89.06893,0
51,LED-35,Weekly Monitoring Data_LEDARS,2.42,15.9,22.31526,89.11287,42.42646955
52,LED-38,Weekly Monitoring Data_LEDARS,1.89,20.5,22.3117,89.13739,7.008893393
53,LED-39,Weekly Monitoring Data_LEDARS,1.02,7.53,22.3864,89.0854,0
54,LED-40,Weekly Monitoring Data_LEDARS,0.52,9.82,22.34008,89.10728,12.47060233
55,LED-41,Weekly Monitoring Data_LEDARS,0.56,4.23,22.37315,89.08025,27.92428393
56,LED-43,Weekly Monitoring Data_LEDARS,2.96,11.7,22.33421,89.04314,0
57,SHU-01,Weekly Monitoring Data_SHUSHILAN,2.03,4.34,22.5439,89.17336,7.178992012
58,SHU-02,Weekly Monitoring Data_SHUSHILAN,0.63,3.76,22.47056,89.20761,0
59,SHU-08,Weekly Monitoring Data_SHUSHILAN,1.5,7.03,22.4765,89.1492,0
60,SHU-09,Weekly Monitoring Data_SHUSHILAN,1.34,10.65,22.452,89.176,6.841232455
61,SHU-21,Weekly Monitoring Data_SHUSHILAN,2.4,11,22.38776,89.06049,0
62,SHU-23,Weekly Monitoring Data_SHUSHILAN,2.45,2.57,22.43916,89.05666,0.178035995
63,SHU-24,Weekly Monitoring Data_SHUSHILAN,2.13,3.93,22.43722,89.04941,0.415384951
64,SHU-25,Weekly Monitoring Data_SHUSHILAN,0.56,4.73,22.44333,89.05973,0
65,SHU-30,Weekly Monitoring Data_SHUSHILAN,2.11,2.83,22.49751,89.07548,0
66,SHU-42,Weekly Monitoring Data_SHUSHILAN,1.67,6.56,22.45217,89.15574,40.21669083
67,SHU-46,Weekly Monitoring Data_SHUSHILAN,2.33,8.73,22.47077,89.21925,0
68,SHU-47,Weekly Monitoring Data_SHUSHILAN,2.23,9.33,22.50709,89.19905,0
69,SHU-48,Weekly Monitoring Data_SHUSHILAN,1.67,6.56,22.50924,89.19971,0.027891224
70,SHU-49,Weekly Monitoring Data_SHUSHILAN,1.53,4.7,22.46066,89.21259,0
71,SHU-50,Weekly Monitoring Data_SHUSHILAN,2.2,4.45,22.57718,89.12938,0
72,SHU-51,Weekly Monitoring Data_SHUSHILAN,0.5,2.94,22.57386,89.13497,0
73,SHU-56,Weekly Monitoring Data_SHUSHILAN,1.45,8.5,22.37602,89.05099,0.045379095
74,SHU-59,Weekly Monitoring Data_SHUSHILAN,0.64,6.6,22.39121,89.0153,34.67711301
75,ASA,Weekly Monitoring Data_24 Sites,1.01,7.44,22.547444,89.178389,1.991519518
76,ASS,Weekly Monitoring Data_24 Sites,0.708,5.72,22.47089,89.15089,2.85912647
77,BAB,Weekly Monitoring Data_24 Sites,2.9,9.9,22.6338,89.51436,6.06021259
78,BAG,Weekly Monitoring Data_24 Sites,1.52,2.79,22.66736667,89.51281111,24.44375445
79,BAS,Weekly Monitoring Data_24 Sites,0.34,3.02,22.67185,89.43896,31.8916374
80,DAB,Weekly Monitoring Data_24 Sites,3.5,11.28,22.57406,89.50039,0
81,DAC,Weekly Monitoring Data_24 Sites,1.73,4.08,22.59664,89.51461,0.491543721
82,DAS,Weekly Monitoring Data_24 Sites,1.97,10.4,22.5198,89.49155,0
83,KAG,Weekly Monitoring Data_24 Sites,0.647,9.36,22.38913,89.01204,4.184575107
84,KAK,Weekly Monitoring Data_24 Sites,0.526,6.03,22.44796,89.03887,44.36171816
85,MGD,Weekly Monitoring Data_24 Sites,0.504,7.04,22.55923,89.85994,40.86246352
86,MGS,Weekly Monitoring Data_24 Sites,0.49,7.06,22.57947,89.91982,49.38789669
87,MOB,Weekly Monitoring Data_24 Sites,0.669,13.12,22.40995,89.66112,4.744978898
88,MOC,Weekly Monitoring Data_24 Sites,2.34,15.85,22.40501,89.64354,0
89,PAL,Weekly Monitoring Data_24 Sites,,6.01,22.56783,89.32983,0.966576314
90,SAA,Weekly Monitoring Data_24 Sites,0.151,12.01,22.33353,89.80929,32.84066676
91,SAR,Weekly Monitoring Data_24 Sites,0.389,11.85,22.31644,89.84443,23.86035073
92,SHC,Weekly Monitoring Data_24 Sites,0.41,11.38,22.35376,89.10525,15.93277235
93,SHN,Weekly Monitoring Data_24 Sites,0.871,11.42,22.34692,89.1019,6.068332715
94,BCS,Weekly Monitoring Data_24 Sites,,7.1,22.61764,89.52995,0
95,BNK,Weekly Monitoring Data_24 Sites,0.95,3.4,22.97836,89.64774,28.08737055
96,JPS,Weekly Monitoring Data_24 Sites,,13.48,22.55982,89.46542,0
97,KDP,Weekly Monitoring Data_24 Sites,0.62,10.75,22.48532,89.71352,18.43740915
98,MVK,Weekly Monitoring Data_24 Sites,,2.05,22.996167,89.657361,0